28800.101713,1,r28800101713,41.0,4.81,1
28800.101727,1,r28800101727,41.0,4.81,1
28800.111795,1,r28800111795,41.0,4.81,1
28800.771745,1,r28800771745,2441.0,8.305,1
28801.390867,1,r28801390867,141.0,7.289999999999999,-1
28801.390869,1,r28801390869,141.0,7.289999999999999,1
28801.390901,1,r28801390901,141.0,7.289999999999999,1
28801.400866,1,r28801400866,2441.0,8.305,1
28801.432872,1,r28801432872,138.0,7.355,-1
28801.432889,1,r28801432889,141.0,7.27,-1
28801.43292,1,r28801432920,141.0,7.27,1
28801.4358,1,r28801435800,141.0,7.27,1
28801.435801,1,r28801435801,141.0,7.265000000000001,-1
28801.442414,1,r28801442414,141.0,7.27,1
28801.442548,1,r28801442548,141.0,7.27,1
28801.44255,1,r28801442550,141.0,7.25,-1
28801.442561,1,r28801442561,141.0,7.25,1
28801.442583,1,r28801442583,141.0,7.25,1
28801.44629,1,r28801446290,141.0,7.25,1
28801.452736,1,r28801452736,2441.0,8.305,1
28803.101007,1,r28803101007,2400.0,11.8,1
28803.660363,1,r28803660363,2400.0,11.8,1
28806.219956,1,r28806219956,2500.0,10.55,-1
28807.093059,1,r28807093059,2500.0,10.55,1
28807.404743,1,r28807404743,2500.0,10.55,1
28809.338756,1,r28809338756,2500.0,10.55,1
28817.435305,1,r28817435305,2410.0,10.600000000000001,1
28817.626944,1,r28817626944,118.0,9.65,-1
28820.082194,1,r28820082194,118.0,9.65,1
28820.154461,1,r28820154461,118.0,9.65,1
28820.608867,1,r28820608867,118.0,9.65,1
28822.393946,1,r28822393946,118.0,9.65,1
28823.341448,1,r28823341448,118.0,9.65,1
28823.985559,1,r28823985559,118.0,9.65,1
28824.41459,1,r28824414590,118.0,9.65,1
28824.579026,1,r28824579026,118.0,9.65,1
28824.641164,1,r28824641164,118.0,9.65,1
28824.757601,1,r28824757601,118.0,9.65,1
28825.978625,1,r28825978625,118.0,9.65,1
28828.718654,1,r28828718654,118.0,9.65,1
28833.291559,1,r28833291559,126.0,9.629999999999999,-1
28833.291561,1,r28833291561,110.0,9.525,-1
28833.29162,1,r28833291620,110.0,9.525,1
28833.301887,1,r28833301887,118.0,9.65,1
28834.128802,1,r28834128802,110.0,9.629999999999999,-1
28834.139086,1,r28834139086,118.0,9.65,1
28842.342255,1,r28842342255,118.0,9.65,1
28843.593708,1,r28843593708,118.0,9.65,1
28846.931316,1,r28846931316,118.0,9.65,1
28848.928959,1,r28848928959,118.0,9.65,1
28855.464316,1,r28855464316,258.0,9.66,1
28857.545472,1,r28857545472,750.0,9.629999999999999,-1
28858.446419,1,r28858446419,750.0,9.629999999999999,1
28858.44645,1,r28858446450,601.0,9.67,1
28858.446462,1,r28858446462,601.0,9.73,1
28858.450353,1,r28858450353,601.0,9.67,-1
28858.950354,1,r28858950354,750.0,9.629999999999999,-1
28859.505815,1,r28859505815,750.0,9.629999999999999,1
28863.367183,1,r28863367183,750.0,9.629999999999999,1
28863.367211,1,r28863367211,601.0,9.67,1
28863.367224,1,r28863367224,604.0,9.73,1
28863.370353,1,r28863370353,601.0,9.67,-1
28863.867925,1,r28863867925,750.0,9.629999999999999,-1
28868.638344,1,r28868638344,670.0,9.754999999999999,1
28868.63869,1,r28868638690,739.0,9.754999999999999,1
28868.638702,1,r28868638702,621.0,9.785,1
