34200.005742728,4,15835012,34,275200,-1
34200.00624102,1,16114545,100,275200,-1
34200.006461694,1,16114695,100,275500,-1
34200.006484232,1,16114707,100,275800,-1
34200.048863815,3,16063194,100,275000,1
34200.048883439,3,15833239,100,275100,1
34200.04898922,1,16127246,100,275000,1
34200.049010886,1,16127264,500,274900,1
34200.049078453,1,16127293,500,274800,1
34200.049110147,1,16127306,500,274700,1
34200.049155765,1,16127319,500,274600,1
34200.04923133,1,16127343,500,274500,1
34200.049283585,1,16127361,500,274400,1
34200.049300503,1,16127367,200,275000,1
34200.049337965,1,16127378,500,274300,1
34200.049386184,1,16127398,500,276100,-1
34200.049521493,3,15834355,100,274600,1
34200.049525443,2,15834520,1900,274400,1
34200.056548528,1,16129989,100,274600,1
34200.211338163,4,15835012,66,275200,-1
34200.211338163,4,16114545,100,275200,-1
34200.211338163,5,0,125,275200,-1
34200.211455487,1,16168655,200,275100,1
34200.211462382,1,16168657,100,275100,1
34200.211463884,1,16168658,200,275100,1
34200.211558241,3,16168655,200,275100,1
34200.211558241,1,16168690,200,275100,1
34200.211577771,3,16168658,200,275100,1
34200.211577771,1,16168700,200,275100,1
34200.211583347,3,16168657,100,275100,1
34200.211583347,1,16168701,100,275100,1
34200.211645674,3,16168690,200,275100,1
34200.211645674,1,16168720,200,275100,1
34200.211647852,3,16168700,200,275100,1
34200.211647852,1,16168721,200,275100,1
34200.211656648,3,16168701,100,275100,1
34200.211656648,1,16168727,100,275100,1
34200.211713332,3,16168720,200,275100,1
34200.211713332,1,16168748,200,275100,1
34200.211716769,3,16168721,200,275100,1
34200.211716769,1,16168750,200,275100,1
34200.211722905,3,16168727,100,275100,1
34200.211722905,1,16168751,100,275100,1
34200.211771374,3,16168748,200,275100,1
34200.211771374,1,16168774,200,275100,1
34200.211795867,3,16168751,100,275100,1
34200.211795867,1,16168783,100,275100,1
34200.211797436,3,16168750,200,275100,1
34200.211797436,1,16168784,200,275100,1
34200.211841378,3,16168774,200,275100,1
34200.211841378,1,16168806,200,275100,1
34200.211881267,3,16168783,100,275100,1
34200.211881267,1,16168817,100,275100,1
34200.211888998,3,16168784,200,275100,1
34200.211888998,1,16168820,200,275100,1
34200.211933297,3,16168806,200,275100,1
34200.211955212,3,16168817,100,275100,1
34200.211973699,3,16168820,200,275100,1
34200.212012251,1,16168872,100,275200,-1
34200.233925991,4,16168872,100,275200,-1
34200.233925991,5,0,100,275200,-1
34200.233982889,1,16174086,200,275100,1
34200.233985236,1,16174087,100,275100,1
34200.233988686,1,16174089,200,275100,1
34200.234101054,3,16174089,200,275100,1
34200.234101054,1,16174108,200,275100,1
34200.234104064,3,16174086,200,275100,1
34200.234104064,1,16174109,200,275100,1
34200.234106043,3,16174087,100,275100,1
34200.234106043,1,16174111,100,275100,1
34200.234184586,3,16174109,200,275100,1
34200.234184586,1,16174132,200,275100,1
34200.234195927,3,16174108,200,275100,1
34200.234195927,1,16174135,200,275100,1
34200.23421147,3,16174111,100,275100,1
34200.23421147,1,16174144,100,275100,1
34200.234302914,3,16174132,200,275100,1
34200.234302914,1,16174161,200,275100,1
34200.234312552,3,16174135,200,275100,1
34200.234312552,1,16174168,200,275100,1
34200.234317761,3,16174144,100,275100,1
34200.234317761,1,16174174,100,275100,1
34200.234320724,1,16174177,100,275200,-1
34200.234404163,3,16174161,200,275100,1
34200.234404163,1,16174198,200,275100,1
34200.23440582,3,16174174,100,275100,1
34200.23440582,1,16174199,100,275100,1
34200.234407241,3,16174168,200,275100,1
34200.234407241,1,16174200,200,275100,1
34200.234508812,3,16174198,200,275100,1
34200.234508812,1,16174226,200,275100,1
34200.234511064,3,16174199,100,275100,1
34200.234511313,3,16174200,200,275100,1
34200.234511313,1,16174227,200,275100,1
34200.234584295,3,16174226,200,275100,1
34200.23459686,3,16174227,200,275100,1
34200.274593291,1,16182346,100,274500,1
34200.358927155,4,16174177,79,275200,-1
34200.359258829,1,16198801,100,275200,-1
34200.393444815,1,16207016,100,275100,1
34200.439889823,4,16174177,21,275200,-1
34200.439889823,4,16198801,100,275200,-1
34200.439889823,1,2618594,100,275200,1
34200.439889823,1,1377957,200,275400,-1
34200.439889823,1,13520190,880,275200,1
34200.439889823,1,11806428,100,275400,-1
34200.439889823,1,13820460,4,275100,1
34200.439889823,1,2119712,150,275500,-1
34200.439889823,1,1333266,200,275000,1
34200.439889823,1,11858563,150,275500,-1
34200.439889823,1,2618596,6281,275000,1
34200.439889823,1,5522660,1000,275700,-1
34200.439889823,1,2618605,100,275000,1
34200.439889823,1,9681402,100,275900,-1
34200.439889823,1,2618609,100,275000,1
34200.439889823,1,10237135,108,275900,-1
34200.439889823,1,3552939,500,275000,1
34200.439889823,1,10320269,200,275900,-1
34200.439889823,1,3568771,2500,275000,1
34200.439889823,1,1360790,60,276000,-1
34200.439889823,1,4114393,100,275000,1
34200.439889823,1,1367881,5,276000,-1
34200.439889823,1,4114475,400,275000,1
34200.439889823,1,2130513,200,276000,-1
34200.439889823,1,8270113,100,275000,1
34200.439889823,1,2622191,200,276000,-1
34200.439889823,1,11423852,1000,275000,1
34200.439889823,1,2622193,52,276000,-1
34200.439889823,1,11936659,200,275000,1
34200.439889823,1,5360617,150,276000,-1
34200.439889823,1,870206,100,274900,1
34200.439889823,1,10952623,72,276000,-1
34200.439889823,1,2618615,100,274800,1
34200.439889823,1,1371271,10,276100,-1
34200.439889823,1,2618624,100,274600,1
34200.440901511,1,16215340,100,275200,1
34200.440902212,1,16215341,200,275200,1
